0 107.04739
1 106.390311
2 105.676271
3 103.02001
4 103.111745
5 101.486115
6 101.305205
7 100.894531
8 98.465046
9 99.017803
10 96.573598
11 96.270873
12 95.158106
13 96.099136
14 95.799397
15 92.952199
16 92.67678
17 93.233804
18 91.920073
19 90.873654
20 89.732087
21 89.070741
22 88.132697
23 87.128092
24 86.168288
25 84.828957
26 83.766537
27 82.80908
28 81.641272
29 80.481784
30 79.251682
31 76.357762
32 76.394029
33 76.405976
34 75.519773
35 74.204763
36 73.397068
37 72.438757
38 71.753731
39 70.78902
40 69.779295
41 69.029201
42 68.229613
43 67.030658
44 66.216777
45 64.978994
46 62.686259
47 62.651485
48 61.637919
49 61.559411
50 60.979987
51 59.696551
52 58.485222
53 57.400829
54 56.38833
55 55.29007
56 54.369947
57 53.079043
58 51.936835
59 50.915803
60 49.777009
61 48.648029
62 47.459527
63 46.522123
64 45.587919
65 44.397284
66 43.211769
67 41.994894
68 41.146878
69 39.805414
70 38.980225
71 37.856365
72 36.644609
73 35.754566
74 34.525957
75 33.183426
76 32.13338
77 31.02424
78 29.838298
79 28.783345
80 27.57607
81 26.299033
82 25.458271
83 24.356171
84 23.047134
85 22.014368
86 20.776799
87 19.72462
88 18.613346
89 17.54026
90 16.331918
91 15.393874
92 14.163985
93 12.889935
94 11.90133
95 10.873045
96 9.713557
97 8.622763
98 7.409301
99 6.236373
100 5.199554
101 3.961131
102 2.871618
103 1.834586
104 1.105186
105 0.611737
106 0.378986
107 0.326292
108 0.101008
109 0.021219
110 -0.046835
111 0.076687
112 -0.083529
